P_G2_MW,P_G3_MW
9.933,9.933
9.933,10.234
9.933,10.535
9.933,10.836
9.933,11.137
9.933,11.739
9.933,12.04
9.933,12.341
9.933,12.642
9.933,12.943
9.933,13.244
9.933,13.545
9.933,14.147
9.933,14.448
9.933,14.749
9.933,15.05
9.933,15.351
9.933,15.953
9.933,16.254
9.933,16.555
9.933,16.856
9.933,17.157
9.933,17.759
9.933,18.06
9.933,18.361
9.933,18.662
9.933,18.963
9.933,19.264
9.933,19.565
9.933,20.167
9.933,20.468
9.933,20.769
9.933,21.07
9.933,21.371
9.933,21.973
9.933,22.274
9.933,22.575
9.933,22.876
9.933,23.177
9.933,23.779
9.933,24.08
9.933,24.381
9.933,24.682
9.933,24.983
9.933,25.585
9.933,25.886
9.933,26.187
9.933,26.488
9.933,26.789
9.933,27.391
9.933,27.692
9.933,27.993
9.933,28.294
9.933,28.595
9.933,28.896
9.933,29.197
9.933,29.799
9.933,30.1
9.933,30.401
9.933,30.702
9.933,31.003
9.933,31.605
9.933,31.906
9.933,32.207
9.933,32.508
9.933,32.809
9.933,33.411
9.933,33.712
9.933,34.013
9.933,34.314
9.933,34.615
9.933,35.217
9.933,35.518
9.933,35.819
9.933,36.12
9.933,36.421
9.933,36.722
9.933,37.023
9.933,37.625
9.933,37.926
9.933,38.227
9.933,38.528
9.933,38.829
9.933,127.926
9.933,128.227
9.933,128.528
9.933,128.829
9.933,129.13
9.933,129.732
9.933,130.033
9.933,130.334
9.933,130.635
9.933,130.936
9.933,131.538
9.933,131.839
9.933,132.14
9.933,132.441
9.933,132.742
9.933,133.344
9.933,133.646
9.933,133.946
9.933,134.248
9.933,134.548
9.933,135.151
9.933,135.452
9.933,135.752
9.933,136.054
9.933,136.355
9.933,136.957
9.933,137.258
9.933,137.559
9.933,137.86
9.933,138.161
9.933,138.462
9.933,138.763
9.933,139.365
9.933,139.666
9.933,139.967
9.933,140.268
9.933,140.569
9.933,141.171
9.933,141.472
9.933,141.773
9.933,142.074
9.933,142.375
9.933,142.977
9.933,143.278
9.933,143.579
9.933,143.88
9.933,144.181
9.933,144.482
9.933,144.783
9.933,145.385
9.933,145.686
9.933,145.987
9.933,146.288
9.933,146.589
9.933,147.191
9.933,147.492
9.933,147.793
9.933,148.094
9.933,148.395
9.933,148.997
9.933,149.298
9.933,149.599
9.933,149.9
9.933,150.201
9.933,150.803
9.933,151.104
9.933,151.405
9.933,151.706
9.933,152.007
9.933,152.609
9.933,152.91
9.933,153.211
9.933,153.512
9.933,153.813
9.933,154.114
9.933,154.415
9.933,155.017
9.933,155.318
9.933,155.619
9.933,155.92
9.933,156.221
9.933,156.823
9.933,157.124
9.933,157.425
9.933,157.726
9.933,158.027
9.933,158.629
9.933,158.93
9.933,159.231
9.933,159.532
9.933,159.833
9.933,160.134
9.933,160.435
9.933,161.037
9.933,161.338
9.933,161.639
9.933,161.94
9.933,162.241
9.933,162.843
9.933,163.144
9.933,163.445
9.933,163.746
9.933,164.047
9.933,164.649
9.933,164.95
9.933,165.251
9.933,165.552
9.933,165.853
9.933,166.455
9.933,166.756
9.933,167.057
9.933,167.358
9.933,167.659
9.933,168.261
9.933,168.562
9.933,168.863
9.933,169.164
9.933,169.465
9.933,169.766
9.933,170.067
9.933,170.669
9.933,170.97
9.933,171.271
9.933,171.572
9.933,171.873
9.933,172.475
9.933,172.776
9.933,173.077
9.933,173.378
9.933,173.679
9.933,174.281
9.933,174.582
9.933,174.883
10.234,9.933
10.234,11.137
10.234,11.739
10.234,13.545
10.234,14.147
10.234,15.351
10.234,15.953
10.234,17.157
10.234,17.759
10.234,19.565
10.234,20.167
10.234,21.371
10.234,21.973
10.234,23.177
10.234,23.779
10.234,24.983
10.234,25.585
10.234,26.789
10.234,27.391
10.234,29.197
10.234,29.799
10.234,31.003
10.234,31.605
10.234,32.809
10.234,33.411
10.234,34.615
10.234,35.217
10.234,37.023
10.234,37.625
10.234,38.829
10.234,127.926
10.234,129.13
10.234,129.732
10.234,130.936
10.234,131.538
10.234,132.742
10.234,133.344
10.234,134.548
10.234,135.151
10.234,136.355
10.234,136.957
10.234,138.763
10.234,139.365
10.234,140.569
10.234,141.171
10.234,142.375
10.234,142.977
10.234,144.783
10.234,145.385
10.234,146.589
10.234,147.191
10.234,148.395
10.234,148.997
10.234,150.201
10.234,150.803
10.234,152.007
10.234,152.609
10.234,154.415
10.234,155.017
10.234,156.221
10.234,156.823
10.234,158.027
10.234,158.629
10.234,160.435
10.234,161.037
10.234,162.241
10.234,162.843
10.234,164.047
10.234,164.649
10.234,165.853
10.234,166.455
10.234,167.659
10.234,168.261
10.234,170.067
10.234,170.669
10.234,171.873
10.234,172.475
10.234,173.679
10.234,174.281
10.234,174.883
10.535,9.933
10.535,11.137
10.535,11.739
10.535,13.545
10.535,14.147
10.535,15.351
10.535,15.953
10.535,17.157
10.535,17.759
10.535,19.565
10.535,20.167
10.535,21.371
10.535,21.973
10.535,23.177
10.535,23.779
10.535,24.983
10.535,25.585
10.535,26.789
10.535,27.391
10.535,29.197
10.535,29.799
10.535,31.003
10.535,31.605
10.535,32.809
10.535,33.411
10.535,34.615
10.535,35.217
10.535,37.023
10.535,37.625
10.535,37.926
10.535,38.227
10.535,38.528
10.535,38.829
10.535,127.926
10.535,129.13
10.535,129.732
10.535,130.936
10.535,131.538
10.535,132.742
10.535,133.344
10.535,134.548
10.535,135.151
10.535,136.355
10.535,136.957
10.535,138.763
10.535,139.365
10.535,140.569
10.535,141.171
10.535,142.375
10.535,142.977
10.535,144.783
10.535,145.385
10.535,146.589
