p2_mw,p3_mw,is_feasible,calculation_time,p1_mw,q1_mvar,q2_mvar,q3_mvar,v1_pu,v2_pu,v3_pu,v4_pu,v5_pu,v6_pu,v7_pu,v8_pu,v9_pu,theta1_deg,theta2_deg,theta3_deg,theta4_deg,theta5_deg,theta6_deg,theta7_deg,theta8_deg,theta9_deg
250.42,12.88,0,0.45374012,,,,,,,,,,,,,,,,,,,,,,
250.44,12.88,0,0.05787754,,,,,,,,,,,,,,,,,,,,,,
250.46,12.88,0,0.05532241,,,,,,,,,,,,,,,,,,,,,,
250.48,12.88,0,0.13090181,,,,,,,,,,,,,,,,,,,,,,
250.5,12.88,0,0.055012465,,,,,,,,,,,,,,,,,,,,,,
250.52,12.88,0,0.07053375,,,,,,,,,,,,,,,,,,,,,,
250.54,12.88,0,0.05571556,,,,,,,,,,,,,,,,,,,,,,
250.56,12.88,0,0.064421415,,,,,,,,,,,,,,,,,,,,,,
250.58,12.88,0,0.0542531,,,,,,,,,,,,,,,,,,,,,,
250.6,12.88,0,0.05455947,,,,,,,,,,,,,,,,,,,,,,
250.62,12.88,0,0.054243803,,,,,,,,,,,,,,,,,,,,,,
250.64,12.88,0,0.053575754,,,,,,,,,,,,,,,,,,,,,,
250.66,12.88,0,0.054062128,,,,,,,,,,,,,,,,,,,,,,
250.68,12.88,0,0.053815365,,,,,,,,,,,,,,,,,,,,,,
250.7,12.88,0,0.06472397,,,,,,,,,,,,,,,,,,,,,,
250.72,12.88,0,0.054353,,,,,,,,,,,,,,,,,,,,,,
250.74,12.88,0,0.06531143,,,,,,,,,,,,,,,,,,,,,,
250.76,12.88,0,0.054199457,,,,,,,,,,,,,,,,,,,,,,
250.78,12.88,0,0.05843687,,,,,,,,,,,,,,,,,,,,,,
250.8,12.88,0,0.058523417,,,,,,,,,,,,,,,,,,,,,,
250.82,12.88,0,0.054354906,,,,,,,,,,,,,,,,,,,,,,
250.84,12.88,0,0.054152012,,,,,,,,,,,,,,,,,,,,,,
250.86,12.88,0,0.0540483,,,,,,,,,,,,,,,,,,,,,,
250.88,12.88,0,0.053786993,,,,,,,,,,,,,,,,,,,,,,
250.9,12.88,0,0.054358482,,,,,,,,,,,,,,,,,,,,,,
250.92,12.88,0,0.054322243,,,,,,,,,,,,,,,,,,,,,,
250.94,12.88,0,0.054693222,,,,,,,,,,,,,,,,,,,,,,
250.96,12.88,0,0.044774532,,,,,,,,,,,,,,,,,,,,,,
250.98,12.88,0,0.06403351,,,,,,,,,,,,,,,,,,,,,,
251.0,12.88,0,0.044919014,,,,,,,,,,,,,,,,,,,,,,
251.02,12.88,0,0.053404808,,,,,,,,,,,,,,,,,,,,,,
251.04,12.88,0,0.054917812,,,,,,,,,,,,,,,,,,,,,,
251.06,12.88,0,0.05420828,,,,,,,,,,,,,,,,,,,,,,
251.08,12.88,0,0.042618275,,,,,,,,,,,,,,,,,,,,,,
251.1,12.88,0,0.053963184,,,,,,,,,,,,,,,,,,,,,,
251.12,12.88,0,0.053700447,,,,,,,,,,,,,,,,,,,,,,
251.14,12.88,0,0.053267956,,,,,,,,,,,,,,,,,,,,,,
251.16,12.88,0,0.053970814,,,,,,,,,,,,,,,,,,,,,,
251.18,12.88,0,0.05368519,,,,,,,,,,,,,,,,,,,,,,
251.2,12.88,0,0.05390501,,,,,,,,,,,,,,,,,,,,,,
251.22,12.88,0,0.049532175,,,,,,,,,,,,,,,,,,,,,,
251.24,12.88,0,0.047089815,,,,,,,,,,,,,,,,,,,,,,
251.26,12.88,0,0.05416274,,,,,,,,,,,,,,,,,,,,,,
251.28,12.88,0,0.046877384,,,,,,,,,,,,,,,,,,,,,,
251.3,12.88,0,0.048489094,,,,,,,,,,,,,,,,,,,,,,
251.32,12.88,0,0.042060852,,,,,,,,,,,,,,,,,,,,,,
251.34,12.88,0,0.042953968,,,,,,,,,,,,,,,,,,,,,,
251.36,12.88,0,0.11143446,,,,,,,,,,,,,,,,,,,,,,
251.38,12.88,0,0.05396843,,,,,,,,,,,,,,,,,,,,,,
251.4,12.88,0,0.0541811,,,,,,,,,,,,,,,,,,,,,,
251.42,12.88,0,0.053745747,,,,,,,,,,,,,,,,,,,,,,
251.44,12.88,0,0.054029226,,,,,,,,,,,,,,,,,,,,,,
251.46,12.88,0,0.04249692,,,,,,,,,,,,,,,,,,,,,,
251.48,12.88,0,0.043098927,,,,,,,,,,,,,,,,,,,,,,
251.5,12.88,0,0.04308057,,,,,,,,,,,,,,,,,,,,,,
251.52,12.88,0,0.04329586,,,,,,,,,,,,,,,,,,,,,,
251.54,12.88,0,0.042505503,,,,,,,,,,,,,,,,,,,,,,
251.56,12.88,0,0.042562246,,,,,,,,,,,,,,,,,,,,,,
251.58,12.88,0,0.0432384,,,,,,,,,,,,,,,,,,,,,,
251.6,12.88,0,0.04314089,,,,,,,,,,,,,,,,,,,,,,
251.62,12.88,0,0.046025038,,,,,,,,,,,,,,,,,,,,,,
250.42,12.9,0,0.05286169,,,,,,,,,,,,,,,,,,,,,,
250.44,12.9,0,0.054018974,,,,,,,,,,,,,,,,,,,,,,
250.46,12.9,0,0.054371834,,,,,,,,,,,,,,,,,,,,,,
250.48,12.9,0,0.06670618,,,,,,,,,,,,,,,,,,,,,,
250.5,12.9,0,0.054214716,,,,,,,,,,,,,,,,,,,,,,
250.52,12.9,0,0.053628206,,,,,,,,,,,,,,,,,,,,,,
